id_sitio,nombre,calle,num_exterior,num_interior,colonia,cp,delegacion,estado,telefono
279,H. DE MÈXICO,AGRARISMO,208-601A,,ESCANDON,11800,MIGUEL HIDALGO,,52726211
280,H. DE MÈXICO,AGRARISMO,208-557 Y 558,,ESCANDON,11800,MIGUEL HIDALGO,,52762847
281,H. DE MÈXICO,AGRARISMO,208-407A,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
282,H. DE MÈXICO,AGRARISMO,208-561B,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
283,H. DE MÈXICO,AGRARISMO,208-801A,,ESCANDON,11800,MIGUEL HIDALGO,,53731230
284,H. DE MÈXICO,AGRARISMO,208-901,,ESCANDON,11800,MIGUEL HIDALGO,,53731230
285,H. DE MÈXICO,AGRARISMO,208-954B,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
286,CONSULTORIO,UNION Y MARTI,,,ESCANDON,11800,MIGUEL HIDALGO,,PENDIENTE
287,H. DE MÈXICO,AGRARISMO,208-954B,,ESCANDON,11800,MIGUEL HIDALGO,,5271-5844
288,H. DE MÈXICO,AGRARISMO,208-608A,,ESCANDON,11800,MIGUEL HIDALGO,,55169700
289,H. DE MÈXICO,AGRARISMO,208-555B,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
290,H. DE MÈXICO,AGRARISMO,208-103A,,ESCANDON,11800,MIGUEL HIDALGO,,52732130
291,H. DE MÈXICO,AGRARISMO,208-501A,,ESCANDON,11800,MIGUEL HIDALGO,,55166508
292,H. DE MÈXICO,AGRARISMO,208-909 O URG ,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
293,H. DE MÈXICO,AGRARISMO,208-954B,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
294,H. DE MÈXICO,AGRARISMO,208-905A,,ESCANDON,11800,MIGUEL HIDALGO,,52773146
295,H. DE MÈXICO,AGRARISMO,208-560B,,ESCANDON,11800,MIGUEL HIDALGO,,52762000
296,H. DE MÈXICO,AGRARISMO,208-651B,,ESCANDON,11800,MIGUEL HIDALGO,,51711240
297,H. DE MÈXICO,AGRARISMO,208-606,,ESCANDON,11800,MIGUEL HIDALGO,,52731470
298,H. DE MÈXICO,AGRARISMO,208-408A,,ESCANDON,11800,MIGUEL HIDALGO,,55847184
299,H. DE MÈXICO,AGRARISMO,208-854B,,ESCANDON,11800,MIGUEL HIDALGO,,55847184
300,H. DE MÈXICO,AGRARISMO,208-653B,,ESCANDON,11800,MIGUEL HIDALGO,,55169820
301,H. DE MÈXICO,AGRARISMO,208-854B,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
302,H. DE MÈXICO,AGRARISMO,208-952B,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
303,H. DE MÈXICO,AGRARISMO,208-854B,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
304,H. DE MÈXICO,AGRARISMO,208-503 A,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
305,H. DE MÈXICO,AGRARISMO,208-806,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
306,H. DE MÈXICO,AGRARISMO,208-806,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
307,H. DE MÈXICO,AGRARISMO,208-805B,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
308,C.ZAR,PROGRESO ,231,,ESCANDON,11800,MIGUEL HIDALGO,,84888070
309,H. DE MÈXICO,AGRARISMO,208-554B,,ESCANDON,11800,MIGUEL HIDALGO,,26143869
310,H. DE MÈXICO,AGRARISMO,208-103,,ESCANDON,11800,MIGUEL HIDALGO,,52762847
311,H. DE MÈXICO,AGRARISMO,208-103,,ESCANDON,11800,MIGUEL HIDALGO,,55169900
312,H. DE MÈXICO,AGRARISMO,208-2A,,ESCANDON,11800,MIGUEL HIDALGO,,52732758
313,H. DE MÈXICO,AGRARISMO,208-PB,,ESCANDON,11800,MIGUEL HIDALGO,,
314,H. DE MÈXICO,AGRARISMO,208-853B,,ESCANDON,11800,MIGUEL HIDALGO,,52729051
315,H. DE MÈXICO,AGRARISMO,208-601,,ESCANDON,11800,MIGUEL HIDALGO,,
316,H. DE MÈXICO,AGRARISMO,208-601,,ESCANDON,11800,MIGUEL HIDALGO,,
317,H. DE MÈXICO,AGRARISMO,208-605,,ESCANDON,11800,MIGUEL HIDALGO,,
318,H. DE MÈXICO,AGRARISMO,208-608A,,ESCANDON,11800,MIGUEL HIDALGO,,55169700
319,CONSULTORIO,AGRARISMO,31,,ESCANDON,11800,MIGUEL HIDALGO,,52733775
